title,area,price,low_price,high_price,avg,type,storage,halls,good,ok,bad,address,phone_num
翠柳村客舍,东西湖区,,0,0,0,特色场地,,,2,0,0,武汉市东湖风景区东湖路沿湖大道8号,
湖锦万达店,江汉区,1680,1680,1680,1680,品牌餐饮,12,3,3,0,0,武汉市江汉区菱角湖万达广场3-5楼,027-87823715
湖锦锦江店,武昌区,2000,2000,2000,2000,品牌餐饮,10,4,2,0,0,武汉市武昌区临江大道88号附17,027-87823761
武汉万达嘉华酒店,武昌区,,0,0,0,星级酒店,,,0,0,0,武汉市武昌区水果湖街东湖路105号,
湖锦一站式宴会中心·新荣店,江汉区,1680,1680,1680,1680,品牌餐饮,50,1,2,0,0,武汉市江汉区汉黄路5号,027-87823715
汉阳世贸希尔顿,汉阳区,3888,3888,3888,3888,星级酒店,70,11,1,0,0,武汉市汉阳区滨江大道190号,4000-365
御鉴婚礼堂（她他总店）,武昌区,,0,0,0,婚礼会所,8,6,1,0,0,武汉市武昌区友谊大道才茂街他她喜事广场2层,4000-365
御鉴婚礼堂（花博汇店）,蔡甸区,,0,0,0,婚礼会所,15,2,1,0,0,武汉市蔡甸区知音湖大道花博汇,4000-365
万达瑞华,武昌区,,0,0,0,星级酒店,,2,1,0,0,武汉市武昌区东湖路138号,4000-365
亢龙太子酒轩(江边店),江岸区,988-2588,988,2588,1788,品牌餐饮,38,4,1,0,0,武汉市江岸区武汉市汉口沿江大道226号,4000-365
亢龙太子酒轩（东湖店）,武昌区,1899-2299,1899,2299,2099,品牌餐饮,40,4,1,0,0,武汉市武昌区东湖路181号,4000-365
亢龙太子酒轩（金融店）,江汉区,2199-4299,2199,4299,3249,品牌餐饮,55,3,1,0,0,武汉市江汉区建设大道711号(近新华路口),4000-365
亢龙太子酒轩（雄楚大道店）,武昌区,,0,0,0,品牌餐饮,,,1,0,0,武汉市武昌区武昌雄楚大道294号,4000-365
万达威斯汀,武昌区,,0,0,0,星级酒店,90,5,1,0,0,武汉市武昌区临江大道 96 号,4000-365
