rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
97,断背山,8.6,320605, 李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
98,加勒比海盗,8.6,346002, 戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
99,猫鼠游戏,8.7,225663, 史蒂文·斯皮尔伯格 Steven Spielberg,2002,美国 加拿大,传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
100,哈利·波特与魔法石,8.7,255256, Chris Columbus,2001,美国 英国,奇幻 冒险,童话世界的开端。,https://movie.douban.com/subject/1295038/
101,摩登时代,9.2,88980, 查理·卓别林 Charles Chaplin,1936,美国,喜剧 剧情 爱情,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
102,爱在黎明破晓前,8.7,221594, 理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
103,阿凡达,8.6,531220, 詹姆斯·卡梅隆 James Cameron,2009,美国 英国,动作 冒险 奇幻 科幻,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
104,风之谷,8.8,176845, 宫崎骏 Hayao Miyazaki,1984,日本,科幻 动画 奇幻 冒险,动画片的圣经。,https://movie.douban.com/subject/1291585/
105,爱在日落黄昏时,8.7,199455, 理查德·林克莱特 Richard Linklater,2004,美国,剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
106,穿条纹睡衣的男孩,8.9,144897, 马克·赫门 Mark Herman,2008,英国 美国,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
107,侧耳倾听,8.8,168572, 近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画 音乐,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
108,消失的爱人,8.7,355754, 大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,年度最佳date movie。,https://movie.douban.com/subject/21318488/
109,萤火虫之墓,8.7,204095, 高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
110,超脱,8.8,172912, 托尼·凯耶 Tony Kaye,2011,美国,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
111,驯龙高手,8.7,284811, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,喜剧 动画 奇幻 冒险 家庭,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
112,倩女幽魂,8.6,250058, 程小东 Siu-Tung Ching,1987,香港,剧情 爱情 武侠 古装,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
113,恐怖直播,8.7,219319, 金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
114,菊次郎的夏天,8.7,181801, 北野武 Takeshi Kitano,1999,日本,剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
115,红辣椒,8.9,133619, 今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,梦的勾结。,https://movie.douban.com/subject/1865703/
116,幸福终点站,8.6,225307, 史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
117,海洋,9.0,99138, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
118,七武士,9.2,77323, 黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,时代悲歌。,https://movie.douban.com/subject/1295399/
119,岁月神偷,8.6,307501, 罗启锐 Alex Law,2010,香港 中国大陆,剧情 家庭,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
120,神偷奶爸,8.5,374753, 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,Mr. I Don&#39;t Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
121,借东西的小人阿莉埃蒂,8.7,216050, 米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
122,电锯惊魂,8.7,198749, 詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,真相就在眼前。,https://movie.douban.com/subject/1417598/
123,谍影重重3,8.7,180445, 保罗·格林格拉斯 Paul Greengrass,2007,美国 德国,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
124,杀人回忆,8.6,209704, 奉俊昊 Joon-ho Bong,2003,韩国,犯罪 剧情 悬疑 惊悚,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
125,贫民窟的百万富翁,8.5,395835, 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国 美国,剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
126,真爱至上,8.5,307558, 理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,爱，是个动词。,https://movie.douban.com/subject/1292401/
127,雨人,8.6,209818, 巴瑞·莱文森 Barry Levinson,1988,美国,剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
128,燃情岁月,8.7,148811, 爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 西部 家庭,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
129,东邪西毒,8.6,249219, 王家卫 Kar Wai Wong,1994,香港 台湾,剧情 动作 爱情 武侠 古装,电影诗。,https://movie.douban.com/subject/1292328/
130,记忆碎片,8.5,278915, 克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
131,小森林 夏秋篇,8.9,128086, 森淳一 Junichi Mori,2014,日本,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
132,喜宴,8.8,139106, 李,1993,台湾 美国,剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
133,喜剧之王,8.5,310778, 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,香港,喜剧 剧情 爱情,我是一个演员。,https://movie.douban.com/subject/1302425/
134,虎口脱险,8.9,106977, 杰拉尔·乌里 G,1966,法国 英国,喜剧 战争,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
135,怪兽电力公司,8.6,238378, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,喜剧 动画 儿童 奇幻,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
136,疯狂原始人,8.7,368695, 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
137,黑天鹅,8.5,415539, 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,黑暗之美。,https://movie.douban.com/subject/1978709/
138,卢旺达饭店,8.8,118910, 特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
139,英雄本色,8.7,159930, 吴宇森 John Woo,1986,香港,动作 犯罪,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
140,猜火车,8.5,247944, 丹尼·博伊尔 Danny Boyle,1996,英国,犯罪 剧情,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
